CustomerID,Recency,Frequency,Monetary,AvgOrderValue,TotalItems,KMeansCluster,PCA1,PCA2,HierCluster
12346.0,348,1,5.16,5.16,3,3,-2.2140596598703954,0.44952518302847505,0
12350.0,223,1,19.04,19.04,16,3,-1.0162528421009447,-0.06020911840011013,0
12352.0,338,1,32.7,32.7,5,3,-1.6066984811417269,0.8981854527377471,0
12353.0,198,2,110.82,55.41,24,1,1.18929279211262,-0.061081791018053166,1
12355.0,165,1,12.04,12.04,2,3,-1.7592552070440346,-0.2615141189400493,0
12357.0,307,2,16.91,8.455,5,3,-1.2749280592624563,-0.36781041880436777,3
12360.0,119,2,126.81,63.405,18,1,1.2462462582328024,-0.15752537694287583,3
12362.0,88,1,89.44,89.44,16,0,0.49669995229778213,0.6487422182064646,2
12364.0,97,3,140.75,46.916666666666664,37,1,2.89344053120726,-1.4168144502886317,1
12366.0,213,1,39.78,39.78,9,3,-1.005680080902641,0.38976677700438334,0
12367.0,194,1,14.64,14.64,12,3,-1.2440015449868473,-0.22161445078612857,0
12369.0,270,1,35.63,35.63,7,3,-1.3051548073970256,0.6066123584754415,0
12370.0,332,1,16.5,16.5,10,3,-1.610524819086952,0.4888596454582104,0
12371.0,52,1,11.16,11.16,4,0,-1.4286711279043354,-0.8362983503169661,0
12372.0,56,2,201.23999999999998,100.61999999999999,28,1,2.8808589640679805,0.2686040697675407,1
12373.0,38,1,22.4,22.4,5,0,-1.149988643826416,-0.7022848634446598,0
12376.0,263,1,50.35,50.35,19,3,-0.39608725849661447,0.6797683009082363,0
12377.0,338,1,62.13,62.13,19,3,-0.3498739115507579,1.2552099983075407,0
12378.0,289,1,14.1,14.1,2,3,-1.9863156314527668,0.35816184321029004,0
12379.0,92,1,26.4,26.4,16,0,-0.6102111777747493,-0.5332327095283045,0
12380.0,16,4,149.72,37.43,38,1,3.7278420894535023,-2.6079490830204266,1
12385.0,126,2,115.67,57.835,19,1,1.139430943450139,-0.26897036869782137,3
12386.0,35,1,11.9,11.9,1,0,-1.5391612825325995,-0.8581694189740651,0
